Date,Mode,Category,Remark,Amount,Income_Expense,Transaction_id
01-01-2020,Net Banking,Rent,HRA deducted from salary,11100.12,Expense,7b3c5511-a00c-41a5-a4d4-b933cf592ffb
01-01-2020,Net Banking,Stocks,bonus shares credited,11197.48,Income,bb686c46-c961-4e45-aac5-9ad39abca286
01-01-2020,UPI,Side Hustle,old property resale,6171.92,Income,4aaf97c9-b559-46b4-a850-983cd06085bf
01-01-2020,Credit Card,Salary,salary credited,32692.04,Income,c516c3e4-3f7e-4ed9-8642-c98437fb8351
01-01-2020,Net Banking,Financial Dues,old age home fee,5320.26,Expense,101bec34-f34e-41d4-b4aa-bf101a8cba3b
01-01-2020,Cash,Care Essentials,threading kit,308.3,Expense,feadbb7c-eee9-4303-b1ca-88d5d3c95f10
01-01-2020,Debit Card,Pension,gratuity payout,38341.1,Income,dd2f8958-12fb-4ef5-a833-8c6358aa8405
01-01-2020,Debit Card,Education,story books,1760.71,Expense,74e8c65f-44ab-4b90-a39d-e1b688326c5f
01-01-2020,Credit Card,Utilities,new batteries,1804.29,Expense,3a035418-ae7e-4ad9-b1b8-7cd818defb9f
01-01-2020,Mobile Wallet,Healthcare,muscle relaxant gel,689.98,Expense,76e66dc7-a70f-42d4-a293-8ea00ae86a1c
01-01-2020,Net Banking,Rent,rent received with maintenance charges included,17568.72,Income,0df60a0f-fba8-46b8-9635-a6502887534e
01-01-2020,UPI,Domestic Help,maid fees,4522.65,Expense,adb76ca7-71ca-4276-b9fb-b0bb2e5651f9
02-01-2020,Net Banking,Rent,security deposit for flat,13701.56,Expense,599c3bc6-aba8-49aa-bb24-4497bd188abc
02-01-2020,Debit Card,Utilities,nails and screws,1321.82,Expense,e3bda080-e6c2-437d-82be-8f9d5610772f
02-01-2020,Mobile Wallet,Communication,set-top box install,702.43,Expense,85c2a54e-f077-4f09-8915-653734764128
02-01-2020,Debit Card,Education,reference books,2010.46,Expense,8d12998c-b040-4f80-8a42-7c357190def4
02-01-2020,Cash,Care Essentials,bindi,179.79,Expense,35a9a39b-ac1f-4d7f-9719-1dcb9770ff43
02-01-2020,Net Banking,Financial Dues,atm withdrawal fee,12299.97,Expense,b8c81062-41bb-4587-88fe-05935cbf561a
03-01-2020,Debit Card,Education,erasers,1653.37,Expense,e73ecde9-295f-4cd7-8fe8-44b0cd0c1134
03-01-2020,Net Banking,Financial Dues,overdue payment penalty,6554.2,Expense,890e245e-ba7b-4533-88bc-b603c21d07d3
03-01-2020,UPI,Domestic Help,garbage woman fee,5573.58,Expense,38286bfc-bdad-4f79-9667-67b134cca540
03-01-2020,UPI,Communication,mobile charger,474.5,Expense,b048fc56-9e81-4da3-9ec4-241e30cce93e
03-01-2020,Credit Card,Enrichment,tuition fees,939.0,Expense,26404ea1-bb88-41a6-af48-e9ab41bb184c
03-01-2020,Credit Card,Healthcare,mri scan,807.65,Expense,d0fca398-199a-4172-9a38-39e2ea5e218f
03-01-2020,Credit Card,Groceries,bigbasket order,521.23,Expense,196096ca-2481-4173-b900-66ae249d81ab
